Income,LoanAmount,Age,CreditScore,EmploymentYears,Loan_Status
50000,150000,35,700,5.0,0
75000,250000,42,750,10.0,0
35000,100000,28,650,2.0,1
90000,300000,50,800,15.0,0
45000,130000,31,680,3.0,1
65000,200000,38,720,8.0,0
55000,170000,33,710,6.0,0
40000,120000,26,660,1.0,1
80000,270000,45,780,12.0,0
60000,180000,36,730,7.0,0
48000,140000,29,670,2.0,1
70000,220000,41,760,9.0,0
52000,160000,34,695,5.0,0
58000,175000,37,715,8.0,0
42000,125000,27,665,1.0,1
85000,280000,48,790,14.0,0
62000,190000,39,740,9.0,0
47000,145000,30,675,3.0,1
72000,240000,43,770,11.0,0
56000,170000,35,705,6.0,0
38000,110000,25,655,1.0,1
78000,260000,46,785,13.0,0
64000,200000,40,735,10.0,0
44000,135000,28,670,2.0,1
68000,210000,39,755,8.0,0
51000,155000,32,700,4.0,0
59000,185000,38,720,7.0,0
41000,120000,26,660,1.0,1
82000,275000,47,795,12.0,0
61000,195000,41,745,10.0,0
79934,170321,44,780,6.0,0
65317,199532,48,696,5.0,0
74839,46070,21,697,2.0,0
76284,130765,21,694,10.0,0
59112,187764,26,735,4.0,0
64166,108491,36,698,7.0,0
86450,94540,40,641,1.0,0
73937,195304,46,679,0.0,0
60787,253998,41,649,9.0,1
62298,220748,46,755,11.0,0
53215,158355,41,759,5.0,0
66286,262580,29,753,9.0,0
77232,134841,41,781,7.0,0
101292,152095,37,663,13.0,0
65606,204997,52,699,3.0,0
59964,215101,49,730,9.0,0
71941,247805,30,706,6.0,0
40729,20000,41,704,6.0,0
66774,208283,56,726,9.0,0
68511,178701,21,677,3.0,0
42859,259787,41,644,5.0,0
111285,163663,59,639,2.0,0
53027,172423,54,688,5.0,0
59141,356594,43,743,11.0,0
46604,274066,24,688,12.0,0
34282,31549,21,582,6.0,1
93186,166109,38,754,3.0,0
77090,263168,35,714,0.0,0
129809,213032,48,831,1.0,0
44030,241411,42,823,8.0,0
107391,265551,29,759,9.0,0
36843,202924,47,783,18.0,0
81710,113507,50,665,0.0,0
95993,146219,49,716,7.0,0
101380,124890,56,760,6.0,0
42852,194387,21,683,9.0,0
98755,78611,39,778,6.0,0
95777,96071,32,695,13.0,0
87806,387864,37,721,8.0,0
23450,286938,41,794,4.0,1
95318,202299,22,703,17.0,0
19373,213799,35,649,19.0,0
90308,219979,43,691,3.0,0
42498,205710,29,736,11.0,0
107971,151679,28,726,14.0,0
78319,187554,39,797,10.0,0
76345,202698,22,626,2.0,1
74198,168821,52,757,8.0,0
86641,108126,54,665,8.0,0
63140,165190,56,725,2.0,0
80077,297754,41,689,6.0,0
73499,20000,45,699,14.0,0
56276,101755,34,739,8.0,0
69250,173698,28,620,8.0,1
61468,162564,45,690,19.0,1
87207,204328,37,680,6.0,0
67619,202294,44,748,6.0,0
34597,77937,33,724,9.0,0
50967,180291,24,692,6.0,0
60959,68719,47,747,0.0,1
29988,240309,35,723,9.0,1
59145,211289,45,715,10.0,0
84851,164071,41,733,9.0,1
45642,174032,36,703,12.0,0
33372,209075,58,761,4.0,0
27698,191233,45,723,11.0,0
69846,167260,36,690,12.0,0
61156,198872,44,730,12.0,0
39665,73880,53,689,1.0,0
53259,159273,45,651,12.0,0
38720,85253,21,696,6.0,0
52936,196282,29,767,0.0,0
43130,233465,48,676,0.0,0
87394,224196,40,646,10.0,0
53521,228889,36,785,4.0,0
88765,190522,42,756,13.0,0
104374,169564,35,686,7.0,0
87155,84150,31,649,6.0,0
26114,152111,35,742,7.0,0
116718,212247,36,643,14.0,0
57241,144178,48,702,0.0,0
72193,135589,48,807,2.0,0
61903,164936,28,673,1.0,0
60167,200580,29,617,0.0,1
59964,233879,33,753,3.0,0
71482,155365,50,742,8.0,0
80489,196554,21,690,13.0,0
73376,239221,30,713,7.0,0
89745,99399,23,675,6.0,0
72735,161995,36,784,12.0,0
67532,162801,21,699,6.0,0
76134,167532,46,679,11.0,0
69783,258145,21,686,8.0,0
91252,96737,23,655,18.0,0
56750,20000,22,804,4.0,0
42880,254731,30,693,8.0,0
55334,192343,25,796,8.0,0
42954,86886,46,849,16.0,0
99261,135928,33,725,13.0,0
73574,183367,23,698,9.0,0
73234,78996,22,688,6.0,0
72601,264908,38,693,8.0,0
69016,295912,21,690,12.0,0
65710,184601,39,751,12.0,0
94661,259504,38,690,4.0,0
88773,20000,23,723,2.0,0
85004,338766,49,771,19.0,0
55726,133991,23,735,4.0,0
82824,177846,41,712,11.0,0
71741,309084,25,652,13.0,0
27462,160914,42,713,17.0,0
59853,170209,38,753,4.0,0
16942,121910,31,702,5.0,1
80320,276339,45,698,10.0,0
81644,66568,42,724,12.0,0
114608,149668,40,616,7.0,0
58186,277645,34,795,0.0,0
30319,108019,36,686,3.0,0
